domain,use_case,use_case_description,knowledge_dimensions,task_id,task_title,reference_material,sample_questions,reference_material_source,comprehension_quiz_source,task_inspiration,task_description,cq_format,additional_prompts
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,coeliac-disease-gluten-free,Coeliac disease and gluten free diet,coeliac-disease-gluten-free.pdf,,British Dietetic Association (BDA): https://www.bda.uk.com/resource/coeliac-disease-and-gluten-free-diet.html?_gl=1*1467rg*_up*MQ..*_ga*MTczMjA4NzgwMy4xNzcwMzAzMTUy*_ga_7W0H5VXNW9*czE3NzAzMDMxNTEkbzEkZzEkdDE3NzAzMDMxOTgkajEzJGwwJGgw,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,massage-therapy,Massage therapy,massage-therapy.pdf,,NIH: https://www.nccih.nih.gov/health/massage-therapy-what-you-need-to-know,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,relaxation-techniques,Relaxation techniques,relaxation-techniques.pdf,,NIH: https://www.nccih.nih.gov/health/relaxation-techniques-what-you-need-to-know,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,meditation-techniques,Meditation techniques,meditation-techniques.pdf,,Mayo Clinic: https://www.mayoclinic.org/tests-procedures/meditation/in-depth/meditation/art-20045858?p=1,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,qigong,Qigong,qigong.pdf,,Cleveland Clinci: https://health.clevelandclinic.org/what-are-the-health-benefits-of-qigong,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,eviction-process,Eviction process,eviction-process.pdf,,State of California DOJ: https://oag.ca.gov/system/files/media/Know-Your-Rights-Eviction-Process-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,housing-discrimination-complaint,Housing discrimination complaint,housing-discrimination-complaint.pdf,,Consumer Action: https://www.consumer-action.org/english/articles/filing_a_housing_discrimination_complaint,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,security-deposits,Security deposits,security-deposits.pdf,,State of California DOJ: https://oag.ca.gov/system/files/media/Know-Your-Rights-Security-Deposits-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,rent-increases,Rent increases,rent-increases.pdf,,State of California DOJ: https://oag.ca.gov/system/files/media/Know-Your-Rights-Tenants-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Employment,"Learn about laws and regulations around employment contracts, conditions, and workplace disputes.",Factual,pregnancy-discrimination,Pregnancy discrimination,pregnancy-discrimination.pdf,,EEOC: https://www.eeoc.gov/laws/guidance/fact-sheet-pregnancy-discrimination,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Employment,"Learn about laws and regulations around employment contracts, conditions, and workplace disputes.",Factual,whistleblower-protection,Whistleblower protection,whistleblower-protection.pdf,,OSHA: https://www.osha.gov/sites/default/files/publications/OSHA3638.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Employment,"Learn about laws and regulations around employment contracts, conditions, and workplace disputes.",Factual,unemployment-insurance,Unemployment insurance,unemployment-insurance.pdf,,DOL Employment & Training Administration: https://oui.doleta.gov/unemploy/aboutui.asp,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Elections and voting rights,Learn about federal and state electoral rules and the legal protections of citizens’ voting rights.,Factual,section-203-language-minority,Section 203 protection for language minorities,section-203-language-minority.pdf,,DOJ: https://www.justice.gov/crt/media/1348561/dl?inline,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Elections and voting rights,Learn about federal and state electoral rules and the legal protections of citizens’ voting rights.,Factual,voter-protection,Voter protection,voter-protection.pdf,,Georgetown Law: https://www.law.georgetown.edu/icap/wp-content/uploads/sites/32/2024/08/Voter-Intimidation-Fact-Sheet.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Elections and voting rights,Learn about federal and state electoral rules and the legal protections of citizens’ voting rights.,Factual,voting-101,Voting 101,voting-101.pdf,,DOJ: https://www.justice.gov/crt/media/1229951/dl,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Elections and voting rights,Learn about federal and state electoral rules and the legal protections of citizens’ voting rights.,Factual,voting-rights-for-convicted,Voting rights for the convicted,voting-rights-for-convicted.pdf,,Pennsylvania Department of State: https://www.pa.gov/content/dam/copapwp-pagov/en/vote/your-rights-and-the-law/Convicted-felon-brochure-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,"Wills, trusts, and estates","Learn about laws and regulations around wills, trusts and estates.",Factual,probate,Probate,probate.pdf,,California Courts: https://selfhelp.courts.ca.gov/probate,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,"Wills, trusts, and estates","Learn about laws and regulations around wills, trusts and estates.",Factual,intestacy,Intestacy,intestacy.pdf,,NY Courts: https://www.nycourts.gov/CourtHelp/WhenSomeoneDies/intestacy.shtml; https://www.nycourts.gov/CourtHelp/WhenSomeoneDies/administration.shtml,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,"Wills, trusts, and estates","Learn about laws and regulations around wills, trusts and estates.",Factual,powers-of-attorney,Powers of attorney,powers-of-attorney.pdf,,Texas Law Help: https://texaslawhelp.org/node/818/printable/print,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
