domain,use_case,use_case_description,knowledge_dimensions,task_id,task_title,reference_material,sample_questions,reference_material_source,comprehension_quiz_source,task_inspiration,task_description,cq_format,additional_prompts
Finance,Credits and debts,"Learn about different types of credits and debts, how credit scoring works, and how to manage one's financial liabilities.",Factual,debt-to-income,Debt to income ratio,debt-to-income.pdf,,CFPB: https://files.consumerfinance.gov/f/documents/cfpb_your-money-your-goals_debt_income_calc_tool_2018-11_ADA.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Credits and debts,"Learn about different types of credits and debts, how credit scoring works, and how to manage one's financial liabilities.",Factual,credit-inquiries,Soft and hard credit inquiries,credit-inquiries.pdf,,Experian: https://www.experian.com/blogs/ask-experian/hard-inquiry-vs-soft-inquiry/,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Banking,"Learn about essential banking terms, products, and services, including how to access and utilize them for money and wealth management purposes.",Factual,checking-account-management,Checking account management,checking-account-management.pdf,,CFPB: https://files.consumerfinance.gov/f/201602_cfpb_consumer-guide-to-managing-your-checking-account.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Banking,"Learn about essential banking terms, products, and services, including how to access and utilize them for money and wealth management purposes.",Factual,certificate-of-deposit,Choosing certificates of deposit,certificate-of-deposit.pdf,,FDIC: https://www.fdic.gov/consumer-resource-center/2023-11/shopping-certificate-deposit,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Banking,"Learn about essential banking terms, products, and services, including how to access and utilize them for money and wealth management purposes.",Factual,small-business-account,Small business account,small-business-account.pdf,,FDIC: https://www.fdic.gov/consumer-resource-center/2024-05/your-business-your-deposits#,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Banking,"Learn about essential banking terms, products, and services, including how to access and utilize them for money and wealth management purposes.",Factual,iban-swift,International transfers with IBAN and SWIFT,iban-swift.pdf,,XE: https://www.xe.com/blog/money-transfer/iban-vs-swift-which-do-i-need-for-international-transfers/,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Investment,"Learn about a range of financial products from bonds, stocks, options to exchange traded funds (ETFs) and investment management.",Factual,exchange-traded-funds,Exchange traded funds,exchange-traded-funds.pdf,,SEC Investor.gov: https://www.investor.gov/introduction-investing/investing-basics/investment-products/mutual-funds-and-exchange-traded-2,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Investment,"Learn about a range of financial products from bonds, stocks, options to exchange traded funds (ETFs) and investment management.",Factual,futures-trading,Futures trading,futures-trading.pdf,,CFTC: https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/FuturesMarketBasics/index.htm,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Investment,"Learn about a range of financial products from bonds, stocks, options to exchange traded funds (ETFs) and investment management.",Factual,high-yield-corporate-bonds,High-yield corporate bonds,high-yield-corporate-bonds.pdf,,SEC Investor.gov: https://www.sec.gov/investor/alerts/ib_high-yield.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Investment,"Learn about a range of financial products from bonds, stocks, options to exchange traded funds (ETFs) and investment management.",Factual,asset-allocation,Asset allocation,asset-allocation.pdf,,SEC Investor.gov: https://www.investor.gov/introduction-investing/getting-started/asset-allocation,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Budgeting and savings,"Learn about how to budget, set financial goals, and saving strategies.",Factual,compound-interest,Compound interest,compound-interest.pdf,,FDIC: https://www.fdic.gov/consumer-resource-center/chapter-5-compound-interest#,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Budgeting and savings,"Learn about how to budget, set financial goals, and saving strategies.",Factual,deposit-accounts,Deposit accounts,deposit-accounts.pdf,,FDIC: https://www.fdic.gov/consumer-resource-center/deposit-accounts#,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Budgeting and savings,"Learn about how to budget, set financial goals, and saving strategies.",Factual,529-plans,529 plans,529-plans.pdf,,SEC Investor.gov: https://www.investor.gov/introduction-investing/general-resources/news-alerts/alerts-bulletins/investor-bulletins/introduction-529-plans-investor-bulletin,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Budgeting and savings,"Learn about how to budget, set financial goals, and saving strategies.",Factual,health-savings-account,Health savings account,health-savings-account.pdf,,SEC Investor.gov: https://www.investor.gov/introduction-investing/general-resources/news-alerts/alerts-bulletins/investor-bulletins/health-savings-accounts-hsas-investor-bulletin,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
