domain,use_case,use_case_description,knowledge_dimensions,task_id,task_title,reference_material,sample_questions,reference_material_source,comprehension_quiz_source,task_inspiration,task_description,cq_format,additional_prompts
Finance,Taxes,Learn about U.S. tax forms and how to file them and determine when and how specific tax regulations and law provisions apply to individual or company statuses.,Factual,child-tax-credit,Child tax credit,child-tax-credit.pdf,,IRS: https://www.irs.gov/credits-deductions/individuals/child-tax-credit,AQG,"Based on the [2024 annual congress report of the U.S. Internal Revenue Service (IRS)](https://www.taxpayeradvocate.irs.gov/reports/2024-annual-report-to-congress/most-serious-problems/), tax literacy is one of the top 10 most serious problems facing taxpayers. The report referenced the 2024 [Tax Foundation's National Tax Literacy Poll](https://taxfoundation.org/research/all/federal/us-tax-literacy-poll-knowledge-perceptions/) which spelled out common concepts that taxpayers struggled with.",,single-select MCQs with 5 options and one correct answer,
Finance,Credits and debts,"Learn about different types of credits and debts, how credit scoring works, and how to manage one's financial liabilities.",Factual,secured-unsecured-credit,Secured and unsecured credit,secured-unsecured-credit.pdf,,Experian: https://www.experian.com/blogs/ask-experian/is-secured-card-or-unsecured-card-better-for-credit/,AQG,"Based on educational materials provided by the following sources: 1) CFPB Consumer Guides (https://www.consumerfinance.gov/consumer-tools/ and https://www.consumerfinance.gov/consumer-tools/educator-tools/your-money-your-goals/toolkit/); 2) Credit Bureau Consumer Education (Commercial Authority: Experian, Equifax, TransUnion); 3) National Foundation for Credit Counseling blog articles (https://www.nfcc.org/blog/)",,single-select MCQs with 5 options and one correct answer,
Finance,Banking,"Learn about essential banking terms, products, and services, including how to access and utilize them for money and wealth management purposes.",Factual,deposit-insurance,FDIC deposit insurance,deposit-insurance.pdf,,Federal Deposit Insurance Corporation (FDIC): https://www.fdic.gov/resources/deposit-insurance/brochures/deposits-at-a-glance,AQG,Based on education materials by 1) CFPB Consumer Tools (https://www.consumerfinance.gov/consumer-tools/bank-accounts/); 2) Major Bank Personal Banking Fee Schedule; 3) Major Bank Educational Resources,,single-select MCQs with 5 options and one correct answer,
Finance,Investment,"Learn about a range of financial products from bonds, stocks, options to exchange traded funds (ETFs) and investment management.",Factual,mutual-funds,Mutual funds,mutual-funds.pdf,,SEC Investor.gov (https://www.investor.gov/introduction-investing/investing-basics/investment-products/mutual-funds-and-exchange-traded-funds-etfs/mutual-funds),AQG,Based on educational materials by SEC Investor.gov,,single-select MCQs with 5 options and one correct answer,
Finance,Budgeting and saving,"Learn about how to budget, set financial goals, and saving strategies.",Factual,emergency-fund,Emergency fund,emergency-fund.pdf,,CFPB: https://www.consumerfinance.gov/an-essential-guide-to-building-an-emergency-fund/,AQG,"Based on educational materials by 1) CFPB Consumer Tools (https://www.consumerfinance.gov/consumer-tools/educator-tools/your-money-your-goals/toolkit/); 2) MyMoney.gov (https://www.mymoney.gov/for-teachers); 3) National Endowment for Financial Education (NEFE), Jump$tart Coalition, or similar nonprofits focused on financial literacy; 4) Financial Institution Educational Materials (Banks, credit unions, etc.)",,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,right-to-safe-home,Right to Safe and Well-Maintained Home,right-to-safe-home.pdf,,State of California DOJ: https://oag.ca.gov/system/files/media/Know-Your-Rights-Habitability-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Employment,"Learn about laws and regulations around employment contracts, conditions, and workplace disputes.",Factual,workplace-discrimination,Workplace discrimination,workplace-discrimination.pdf,,EEOC: https://www.eeoc.gov/poster,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Employment,"Learn about laws and regulations around employment contracts, conditions, and workplace disputes.",Factual,fair-labor-exemptions,Fair Labor Standards Act exemptions,fair-labor-exemptions.pdf,,Department of Labor: https://www.dol.gov/agencies/whd/fact-sheets/17a-overtime,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Bankruptcy,Learn about the legal procedure and ramifications for declaring personal bankruptcy.,Factual,bankruptcy-basics,Bankruptcy basics,bankruptcy-basics.pdf,,Law Help MN: https://www.lawhelpmn.org/fact-sheets,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Elections and voting rights,Learn about federal and state electoral rules and the legal protections of citizens’ voting rights.,Factual,uocava,Uniformed And Overseas Citizens Absentee Voting Act,uocava.pdf,,DOJ: https://www.justice.gov/crt/uniformed-and-overseas-citizens-absentee-voting-act,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,"Wills, trusts, and estates","Learn about laws and regulations around wills, trusts and estates.",Factual,wills,Wills,wills.pdf,,Virginia state bar: https://vsb.org/common/Uploaded%20files/docs/pub-te-willsinva.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,"Wills, trusts, and estates","Learn about laws and regulations around wills, trusts and estates.",Factual,revocable-living-trusts,Revocable living trusts,revocable-living-trusts.pdf,,Washiington state bar: https://www.wsba.org/docs/default-source/news-events/publications/consumer-pamphlets/consumer-info-revocable-living-trusts.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,nutrition-bone-health,Nutrition and bone health,nutrition-bone-health.pdf,,Bone Health & Nutrition Foundation: https://www.bonehealthandosteoporosis.org/patients/treatment/nutrition/,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,ibs-fodmap-diet,IBS and FODMAP diet,ibs-fodmap-diet.pdf,,Monash University: https://www.monashfodmap.com/documents/5/3-step_FODMAP_Diet.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,diabetes-meal-planning,Diabetes meal planning,diabetes-meal-planning.pdf,,Northwestern University: https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/patient-education/diet-and-nutrition/northwestern-medicine-diabetes-meal-planning-getting-started.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,coeliac-disease-gluten-free,Coeliac disease and gluten free diet,coeliac-disease-gluten-free.pdf,,British Dietetic Association (BDA): https://www.bda.uk.com/resource/coeliac-disease-and-gluten-free-diet.html?_gl=1*1467rg*_up*MQ..*_ga*MTczMjA4NzgwMy4xNzcwMzAzMTUy*_ga_7W0H5VXNW9*czE3NzAzMDMxNTEkbzEkZzEkdDE3NzAzMDMxOTgkajEzJGwwJGgw,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,massage-therapy,Massage therapy,massage-therapy.pdf,,NIH: https://www.nccih.nih.gov/health/massage-therapy-what-you-need-to-know,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,relaxation-techniques,Relaxation techniques,relaxation-techniques.pdf,,NIH: https://www.nccih.nih.gov/health/relaxation-techniques-what-you-need-to-know,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,meditation-techniques,Meditation techniques,meditation-techniques.pdf,,Mayo Clinic: https://www.mayoclinic.org/tests-procedures/meditation/in-depth/meditation/art-20045858?p=1,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,qigong,Qigong,qigong.pdf,,Cleveland Clinci: https://health.clevelandclinic.org/what-are-the-health-benefits-of-qigong,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,eviction-process,Eviction process,eviction-process.pdf,,State of California DOJ: https://oag.ca.gov/system/files/media/Know-Your-Rights-Eviction-Process-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,housing-discrimination-complaint,Housing discrimination complaint,housing-discrimination-complaint.pdf,,Consumer Action: https://www.consumer-action.org/english/articles/filing_a_housing_discrimination_complaint,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,security-deposits,Security deposits,security-deposits.pdf,,State of California DOJ: https://oag.ca.gov/system/files/media/Know-Your-Rights-Security-Deposits-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,rent-increases,Rent increases,rent-increases.pdf,,State of California DOJ: https://oag.ca.gov/system/files/media/Know-Your-Rights-Tenants-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Employment,"Learn about laws and regulations around employment contracts, conditions, and workplace disputes.",Factual,pregnancy-discrimination,Pregnancy discrimination,pregnancy-discrimination.pdf,,EEOC: https://www.eeoc.gov/laws/guidance/fact-sheet-pregnancy-discrimination,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Employment,"Learn about laws and regulations around employment contracts, conditions, and workplace disputes.",Factual,whistleblower-protection,Whistleblower protection,whistleblower-protection.pdf,,OSHA: https://www.osha.gov/sites/default/files/publications/OSHA3638.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Employment,"Learn about laws and regulations around employment contracts, conditions, and workplace disputes.",Factual,unemployment-insurance,Unemployment insurance,unemployment-insurance.pdf,,DOL Employment & Training Administration: https://oui.doleta.gov/unemploy/aboutui.asp,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Elections and voting rights,Learn about federal and state electoral rules and the legal protections of citizens’ voting rights.,Factual,section-203-language-minority,Section 203 protection for language minorities,section-203-language-minority.pdf,,DOJ: https://www.justice.gov/crt/media/1348561/dl?inline,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Elections and voting rights,Learn about federal and state electoral rules and the legal protections of citizens’ voting rights.,Factual,voter-protection,Voter protection,voter-protection.pdf,,Georgetown Law: https://www.law.georgetown.edu/icap/wp-content/uploads/sites/32/2024/08/Voter-Intimidation-Fact-Sheet.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Elections and voting rights,Learn about federal and state electoral rules and the legal protections of citizens’ voting rights.,Factual,voting-101,Voting 101,voting-101.pdf,,DOJ: https://www.justice.gov/crt/media/1229951/dl,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Elections and voting rights,Learn about federal and state electoral rules and the legal protections of citizens’ voting rights.,Factual,voting-rights-for-convicted,Voting rights for the convicted,voting-rights-for-convicted.pdf,,Pennsylvania Department of State: https://www.pa.gov/content/dam/copapwp-pagov/en/vote/your-rights-and-the-law/Convicted-felon-brochure-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,"Wills, trusts, and estates","Learn about laws and regulations around wills, trusts and estates.",Factual,probate,Probate,probate.pdf,,California Courts: https://selfhelp.courts.ca.gov/probate,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,"Wills, trusts, and estates","Learn about laws and regulations around wills, trusts and estates.",Factual,intestacy,Intestacy,intestacy.pdf,,NY Courts: https://www.nycourts.gov/CourtHelp/WhenSomeoneDies/intestacy.shtml; https://www.nycourts.gov/CourtHelp/WhenSomeoneDies/administration.shtml,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,"Wills, trusts, and estates","Learn about laws and regulations around wills, trusts and estates.",Factual,powers-of-attorney,Powers of attorney,powers-of-attorney.pdf,,Texas Law Help: https://texaslawhelp.org/node/818/printable/print,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Bankruptcy,Learn about the legal procedure and ramifications for declaring personal bankruptcy.,Factual,debt-collection-rights,Debt collection rights,debt-collection-rights.pdf,,Texas Law Help: https://texaslawhelp.org/article/debt-collection,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Bankruptcy,Learn about the legal procedure and ramifications for declaring personal bankruptcy.,Factual,judgment-proof-status,Judgment proof status,judgment-proof-status.pdf,,South Carolina Legal Services: https://sclegal.org/wp-content/uploads/2018/04/Being-Judgment-Proof-on-Consumer-Debt-Do-You-Need-to-File-Bankruptcy-SCLegal-Brochure.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Bankruptcy,Learn about the legal procedure and ramifications for declaring personal bankruptcy.,Factual,wage-garnishment-protection,Wage garnishment protection,wage-garnishment-protection.pdf,,US DOL: https://www.dol.gov/agencies/whd/fact-sheets/30-cppa,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Bankruptcy,Learn about the legal procedure and ramifications for declaring personal bankruptcy.,Factual,bankruptcy-exemptions,Bankruptcy exemptions,bankruptcy-exemptions.pdf,,Nolo: https://www.nolo.com/legal-encyclopedia/washington-bankruptcy-exemptions.html,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Taxes,Learn about U.S. tax forms and how to file them and determine when and how specific tax regulations and law provisions apply to individual or company statuses.,Factual,qualified-business-income-deduction,Qualified business income deduction,qualified-business-income-deduction.pdf,,IRS: https://www.irs.gov/newsroom/qualified-business-income-deduction,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Taxes,Learn about U.S. tax forms and how to file them and determine when and how specific tax regulations and law provisions apply to individual or company statuses.,Factual,adoption-credit,Adoption credit,adoption-credit.pdf,,IRS: https://www.irs.gov/credits-deductions/individuals/adoption-credit,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Taxes,Learn about U.S. tax forms and how to file them and determine when and how specific tax regulations and law provisions apply to individual or company statuses.,Factual,self-employment-tax,Self-employment tax,self-employment-tax.pdf,,IRS: https://www.irs.gov/businesses/small-businesses-self-employed/self-employment-tax-social-security-and-medicare-taxes,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Taxes,Learn about U.S. tax forms and how to file them and determine when and how specific tax regulations and law provisions apply to individual or company statuses.,Factual,american-opportunity-tax-credit,American opportunity tax credit,american-opportunity-tax-credit.pdf,,IRS: https://www.irs.gov/credits-deductions/individuals/american-opportunity-tax-credit,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Credits and debts,"Learn about different types of credits and debts, how credit scoring works, and how to manage one's financial liabilities.",Factual,debt-repayment-strategies,Debt repayment strategies,debt-repayment-strategies.pdf,,NFCC: https://www.nfcc.org/blog/what-is-the-best-way-to-pay-off-debt-debt-avalanche-vs-debt-snowball/,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Credits and debts,"Learn about different types of credits and debts, how credit scoring works, and how to manage one's financial liabilities.",Factual,credit-score-basics,Credit score basics,credit-score-basics.pdf,,FIH 360/CFPB: https://www.fhi360.org/wp-content/uploads/drupal/documents/cfpb_building_block_activities_all-about-credit-scores_handout.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Credits and debts,"Learn about different types of credits and debts, how credit scoring works, and how to manage one's financial liabilities.",Factual,debt-to-income,Debt to income ratio,debt-to-income.pdf,,CFPB: https://files.consumerfinance.gov/f/documents/cfpb_your-money-your-goals_debt_income_calc_tool_2018-11_ADA.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Credits and debts,"Learn about different types of credits and debts, how credit scoring works, and how to manage one's financial liabilities.",Factual,credit-inquiries,Soft and hard credit inquiries,credit-inquiries.pdf,,Experian: https://www.experian.com/blogs/ask-experian/hard-inquiry-vs-soft-inquiry/,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Banking,"Learn about essential banking terms, products, and services, including how to access and utilize them for money and wealth management purposes.",Factual,checking-account-management,Checking account management,checking-account-management.pdf,,CFPB: https://files.consumerfinance.gov/f/201602_cfpb_consumer-guide-to-managing-your-checking-account.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Banking,"Learn about essential banking terms, products, and services, including how to access and utilize them for money and wealth management purposes.",Factual,certificate-of-deposit,Choosing certificates of deposit,certificate-of-deposit.pdf,,FDIC: https://www.fdic.gov/consumer-resource-center/2023-11/shopping-certificate-deposit,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Banking,"Learn about essential banking terms, products, and services, including how to access and utilize them for money and wealth management purposes.",Factual,small-business-account,Small business account,small-business-account.pdf,,FDIC: https://www.fdic.gov/consumer-resource-center/2024-05/your-business-your-deposits#,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Banking,"Learn about essential banking terms, products, and services, including how to access and utilize them for money and wealth management purposes.",Factual,iban-swift,International transfers with IBAN and SWIFT,iban-swift.pdf,,XE: https://www.xe.com/blog/money-transfer/iban-vs-swift-which-do-i-need-for-international-transfers/,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Investment,"Learn about a range of financial products from bonds, stocks, options to exchange traded funds (ETFs) and investment management.",Factual,exchange-traded-funds,Exchange traded funds,exchange-traded-funds.pdf,,SEC Investor.gov: https://www.investor.gov/introduction-investing/investing-basics/investment-products/mutual-funds-and-exchange-traded-2,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Investment,"Learn about a range of financial products from bonds, stocks, options to exchange traded funds (ETFs) and investment management.",Factual,futures-trading,Futures trading,futures-trading.pdf,,CFTC: https://www.cftc.gov/LearnAndProtect/AdvisoriesAndArticles/FuturesMarketBasics/index.htm,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Investment,"Learn about a range of financial products from bonds, stocks, options to exchange traded funds (ETFs) and investment management.",Factual,high-yield-corporate-bonds,High-yield corporate bonds,high-yield-corporate-bonds.pdf,,SEC Investor.gov: https://www.sec.gov/investor/alerts/ib_high-yield.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Investment,"Learn about a range of financial products from bonds, stocks, options to exchange traded funds (ETFs) and investment management.",Factual,asset-allocation,Asset allocation,asset-allocation.pdf,,SEC Investor.gov: https://www.investor.gov/introduction-investing/getting-started/asset-allocation,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Budgeting and savings,"Learn about how to budget, set financial goals, and saving strategies.",Factual,compound-interest,Compound interest,compound-interest.pdf,,FDIC: https://www.fdic.gov/consumer-resource-center/chapter-5-compound-interest#,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Budgeting and savings,"Learn about how to budget, set financial goals, and saving strategies.",Factual,deposit-accounts,Deposit accounts,deposit-accounts.pdf,,FDIC: https://www.fdic.gov/consumer-resource-center/deposit-accounts#,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Budgeting and savings,"Learn about how to budget, set financial goals, and saving strategies.",Factual,529-plans,529 plans,529-plans.pdf,,SEC Investor.gov: https://www.investor.gov/introduction-investing/general-resources/news-alerts/alerts-bulletins/investor-bulletins/introduction-529-plans-investor-bulletin,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Finance,Budgeting and savings,"Learn about how to budget, set financial goals, and saving strategies.",Factual,health-savings-account,Health savings account,health-savings-account.pdf,,SEC Investor.gov: https://www.investor.gov/introduction-investing/general-resources/news-alerts/alerts-bulletins/investor-bulletins/health-savings-accounts-hsas-investor-bulletin,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
